state,district,latitude,longitude,region
Bihar,Muzaffarpur,26.1483,85.3316,East India
Bihar,Nalanda,25.2116,85.4485,East India
Bihar,Nawada,24.8172,85.5178,East India
Bihar,Pashchim Champaran,27.052,84.3349,East India
Bihar,Patna,25.468,85.1953,East India
Bihar,Purbi Champaran,26.6389,84.8992,East India
Bihar,Purnia,25.7755,87.4086,East India
Bihar,Rohtas,24.9394,84.0206,East India
Bihar,Saharsa,25.8331,86.6144,East India
Bihar,Samastipur,25.7748,85.8672,East India
Bihar,Saran,25.9214,84.776,East India
Bihar,Sheikhpura,25.1252,85.8161,East India
Bihar,Sheohar,26.4937,85.2718,East India
Bihar,Sitamarhi,26.5713,85.6006,East India
Bihar,Siwan,26.1314,84.3901,East India
Bihar,Supaul,26.2768,86.796,East India
Bihar,Vaishali,25.7492,85.3972,East India
Chandigarh,Chandigarh,30.7309,76.7842,North India
Chhattisgarh,Balod,20.7277,81.1441,Central India
Chhattisgarh,Baloda Bazar,21.5729,82.2996,Central India
Chhattisgarh,Balrampur,23.6284,83.481,Central India
Chhattisgarh,Bastar,19.1244,81.8225,Central India
Chhattisgarh,Bemetara,21.6753,81.4295,Central India
Chhattisgarh,Bijapur,18.769,80.7395,Central India
Chhattisgarh,Bilaspur,22.164,82.1366,Central India
Chhattisgarh,Dantewada,18.8053,81.4256,Central India
Chhattisgarh,Dhamtari,20.5351,81.7158,Central India
Chhattisgarh,Durg,21.1967,81.4005,Central India
Chhattisgarh,Gariyaband,20.4292,82.2529,Central India
Chhattisgarh,Gaurella Pendra Marwahi,22.8312,81.9588,Central India
Chhattisgarh,Janjgir-Champa,21.9867,82.5532,Central India
Chhattisgarh,Jashpur,22.7703,83.971,Central India
Chhattisgarh,Kabirdham,22.1151,81.2473,Central India
Chhattisgarh,Kanker,20.1324,80.9859,Central India
Chhattisgarh,Khairgarh Chhuikhadan Gandai,21.5295,80.9483,Central India
Chhattisgarh,Kondagaon,19.7091,81.7639,Central India
Chhattisgarh,Korba,22.5199,82.6352,Central India
Chhattisgarh,Korea,23.4764,82.4782,Central India
Chhattisgarh,Mahasamund,21.1921,82.4888,Central India
Chhattisgarh,Manendragarh Chirimiri Bharatpur,23.4315,82.1628,Central India
Chhattisgarh,Mohla Manpur Ambagarh Chouki,20.4947,80.7997,Central India
Chhattisgarh,Mungeli,22.2439,81.6541,Central India
